City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
bethel,90,US,1567376463,77,59.0,60.79,-161.76,16.11
saint-philippe,1,CA,1567376442,53,73.99,45.36,-73.48,11.41
avarua,38,CK,1567376718,53,73.4,-21.21,-159.78,6.93
general higinio morinigo,0,PY,1567377155,63,55.33,-25.95,-55.92,4.72
fortuna,1,US,1567376755,64,91.0,40.6,-124.16,14.99
hambantota,75,LK,1567376777,100,77.0,6.12,81.12,2.24
volchansk,100,RU,1567377156,96,44.71,59.94,60.08,5.23
cape town,20,ZA,1567376407,93,55.99,-33.93,18.42,5.82
tucupita,39,VE,1567377157,85,78.01,9.06,-62.05,7.94
georgetown,20,GY,1567376726,78,84.2,6.8,-58.16,11.41
pacific grove,1,US,1567376745,50,100.0,36.62,-121.92,6.93
nadym,100,RU,1567377158,95,53.35,65.53,72.51,12.33
port-gentil,40,GA,1567377158,88,77.0,-0.72,8.78,9.17
saint-pierre,0,FR,1567376854,66,55.4,48.95,4.24,6.93
east london,0,ZA,1567376739,87,51.74,-33.02,27.91,4.43
ponta do sol,59,BR,1567376443,39,76.94,-20.63,-46.0,2.57
newport,1,US,1567377016,68,71.6,41.49,-71.31,6.93
mehamn,0,NO,1567376878,68,64.4,71.03,27.85,32.21
narsaq,100,GL,1567377160,81,46.4,60.91,-46.05,3.36
honningsvag,69,NO,1567377160,84,56.05,70.98,25.97,25.39
punta arenas,0,CL,1567376737,55,39.2,-53.16,-70.91,11.41
jamestown,0,AU,1567376459,69,47.06,-33.21,138.6,8.52
sitka,16,US,1567376882,61,89.01,37.17,-99.65,13.0
warkworth,100,NZ,1567377161,81,61.0,-36.4,174.66,3.36
washougal,1,US,1567377161,39,84.99,45.58,-122.35,6.93
port alfred,0,ZA,1567376698,80,62.01,-33.59,26.89,7.0
coihaique,40,CL,1567376464,45,44.6,-45.58,-72.07,5.82
san quintin,100,PH,1567376861,91,73.16,17.54,120.52,3.67
kapaa,90,US,1567376731,83,87.8,22.08,-159.32,12.75
bhadohi,88,IN,1567377163,81,82.69,25.39,82.57,4.47
kaitangata,84,NZ,1567376716,60,53.01,-46.28,169.85,4.0
bredasdorp,0,ZA,1567376703,62,55.4,-34.53,20.04,5.82
norman wells,90,CA,1567376702,81,48.2,65.28,-126.83,5.82
deep river,75,CA,1567377014,41,75.2,46.1,-77.49,7.52
carnarvon,0,ZA,1567376454,28,52.1,-30.97,22.13,6.13
faanui,84,PF,1567376771,77,75.32,-16.48,-151.75,14.47
butaritari,41,KI,1567376723,76,84.5,3.07,172.79,18.66
kirkuk,0,IQ,1567377165,24,79.45,35.47,44.4,4.54
novo aripuana,59,BR,1567377166,51,85.39,-5.12,-60.38,2.04
bambous virieux,20,MU,1567376749,82,69.01,-20.34,57.76,9.33
padang,5,ID,1567376764,84,80.9,-0.92,100.36,18.05
tasiilaq,0,GL,1567376780,70,42.8,65.61,-37.64,5.82
thompson,75,CA,1567376457,40,51.8,55.74,-97.86,11.41
quatre cocos,20,MU,1567376747,82,69.01,-20.21,57.76,9.33
geraldton,90,CA,1567376713,100,57.2,49.72,-86.95,6.93
mar del plata,82,AR,1567376697,63,37.34,-46.43,-67.52,30.31
zeya,0,RU,1567376766,91,43.1,53.74,127.27,3.36
nemuro,51,JP,1567377168,80,64.69,43.32,145.57,6.33
roma,0,IT,1567376902,69,75.2,41.89,12.48,5.82
yellowknife,75,CA,1567376725,53,51.8,62.45,-114.38,8.05
caldwell,1,US,1567376926,17,95.0,43.67,-116.69,8.05
flin flon,40,CA,1567377169,41,57.2,54.77,-101.88,8.05
ancud,75,CL,1567376730,65,46.4,-41.87,-73.83,18.34
mayumba,56,GA,1567376796,88,72.08,-3.44,10.65,7.9
hermanus,84,ZA,1567376710,88,55.99,-34.42,19.24,17.76
ballina,75,IE,1567377170,93,57.0,54.11,-9.15,12.75
hithadhoo,100,MV,1567376707,75,83.24,-0.6,73.08,11.61
alihe,0,CN,1567377171,58,59.29,50.57,123.73,2.86
bluff,0,AU,1567376703,42,58.4,-23.58,149.07,5.37
bandarbeyla,72,SO,1567376709,79,75.14,9.49,50.81,21.03
hobart,20,AU,1567376419,70,48.99,-42.88,147.33,8.05
lorengau,100,PG,1567376818,88,78.02,-2.02,147.27,12.24
huejuquilla el alto,35,MX,1567377172,64,69.37,22.63,-103.9,11.65
kingisepp,82,RU,1567377172,85,56.77,59.38,28.61,4.81
cherskiy,11,RU,1567376723,69,37.88,68.75,161.3,4.65
khatanga,33,RU,1567376753,97,34.28,71.98,102.47,9.48
arraial do cabo,40,BR,1567376705,78,73.4,-22.97,-42.02,5.82
bambari,96,CF,1567377173,96,69.73,5.77,20.68,2.04
sladkovo,8,RU,1567377174,94,40.03,55.53,70.34,5.14
tuktoyaktuk,20,CA,1567376752,75,41.0,69.44,-133.03,16.11
marrakesh,40,MA,1567377174,54,78.8,31.63,-7.99,4.7
denpasar,20,ID,1567376584,94,73.4,-8.65,115.22,1.12
sur,97,OM,1567376812,59,81.26,22.57,59.53,10.29
cururupu,73,BR,1567377175,95,73.15,-1.82,-44.87,2.95
verkhnyaya inta,96,RU,1567377176,91,41.83,65.99,60.32,10.87
trabzon,75,TR,1567376950,65,77.0,41.01,39.72,6.93
tynda,81,RU,1567377176,69,53.53,55.15,124.74,1.88
itarema,0,BR,1567377177,69,82.4,-2.92,-39.92,13.87
anaconda,1,US,1567377177,18,84.99,46.13,-112.94,11.41
ribeira grande,32,PT,1567376491,80,72.98,38.52,-28.7,7.02
atuona,13,PF,1567376733,73,79.28,-9.8,-139.03,15.5
whitecourt,90,CA,1567377178,100,53.6,54.14,-115.68,6.93
komsomolskiy,93,RU,1567376774,92,41.48,67.55,63.78,16.73
akdepe,0,TM,1567377179,62,57.2,42.05,59.39,6.93
yankton,75,US,1567377179,78,86.0,42.87,-97.4,4.7
kavaratti,100,IN,1567376865,78,82.34,10.57,72.64,17.83
canandaigua,75,US,1567377180,68,72.0,42.88,-77.28,4.7
makat,2,KZ,1567377180,40,59.65,47.65,53.35,6.96
maceio,40,BR,1567377020,88,75.2,-9.67,-35.74,4.7
tricase,40,IT,1567377181,94,79.0,39.93,18.36,2.24
lasa,0,CY,1567376834,83,80.6,34.92,32.53,6.93
ambulu,79,ID,1567377181,89,70.27,-8.35,113.61,4.47
pevek,100,RU,1567376770,91,37.88,69.7,170.27,6.82
wattegama,100,LK,1567377182,86,70.99,7.35,80.68,3.29
mantua,38,IT,1567376823,73,78.01,45.16,10.79,4.7
barra,0,BR,1567377183,32,75.85,-11.09,-43.14,4.79
kavieng,100,PG,1567376458,81,81.08,-2.57,150.8,18.07
praia,20,BR,1567377184,38,84.2,-20.25,-43.81,4.7
vardo,90,US,1567377184,69,78.01,39.62,-77.74,4.7
gilgit,28,PK,1567377184,61,47.95,35.92,74.31,3.13
kudahuvadhoo,85,MV,1567376700,78,82.88,2.67,72.89,11.1
kirovsk,13,RU,1567376725,90,55.7,67.62,33.66,6.58
aklavik,20,CA,1567376757,37,53.6,68.22,-135.01,9.17
provideniya,90,RU,1567376743,76,53.6,64.42,-173.23,11.18
linares,0,CL,1567376791,67,56.42,-35.85,-71.6,11.5
kodiak,40,US,1567376794,61,82.0,39.95,-94.76,8.05
chapais,75,CA,1567377186,45,64.4,49.78,-74.86,19.46
castro,75,CL,1567376712,65,46.4,-42.48,-73.76,18.34
dwarka,40,IN,1567377187,83,89.01,28.58,77.04,6.15
longyearbyen,75,NO,1567376491,93,41.0,78.22,15.63,4.7
wasilla,90,US,1567377051,55,62.6,61.58,-149.44,10.29
upernavik,0,GL,1567376733,77,42.92,72.79,-56.15,5.88
tamandare,47,BR,1567377188,66,78.01,-8.28,-70.75,3.44
puerto ayora,40,EC,1567376729,69,77.0,-0.74,-90.35,21.92
brae,100,GB,1567376858,93,50.0,60.4,-1.35,8.05
gat,20,SN,1567376850,88,82.4,14.69,-16.54,3.36
port lincoln,0,AU,1567376769,61,57.68,-34.72,135.86,21.94
constitucion,37,MX,1567376706,60,72.0,23.99,-104.67,4.0
balikpapan,100,ID,1567377190,82,74.41,-1.24,116.86,4.7
berck,0,FR,1567377190,58,59.0,50.41,1.57,6.93
boende,70,CD,1567377190,87,72.25,-0.28,20.88,1.52
lompoc,1,US,1567376785,60,89.6,34.64,-120.46,16.11
sarangani,55,PH,1567377191,78,81.79,5.4,125.46,10.09
daru,76,PG,1567377191,70,76.21,-9.07,143.21,10.07
sungairaya,65,ID,1567377191,79,82.33,0.7,108.9,10.96
clyde river,1,CA,1567376766,65,46.4,70.47,-68.59,12.75
pisco,0,PE,1567376738,30,71.6,-13.71,-76.2,10.29
paamiut,100,GL,1567376838,89,43.82,61.99,-49.67,36.46
ozorkow,0,PL,1567377193,64,72.0,51.96,19.29,2.24
petropavlovsk-kamchatskiy,75,RU,1567376497,100,50.0,53.05,158.65,2.24
victoria,75,BN,1567376603,83,82.4,5.28,115.24,2.24
sioux lookout,75,CA,1567377194,72,64.4,50.1,-91.92,8.05
jiwani,0,PK,1567376829,80,82.7,25.05,61.74,6.44
lavrentiya,100,RU,1567377194,96,46.69,65.58,-170.99,12.86
riyadh,0,SA,1567376869,15,95.0,24.63,46.72,4.7
rocky mountain house,100,CA,1567376865,79,60.02,52.38,-114.92,12.15
magomeni,1,TZ,1567377195,97,67.21,-6.8,39.25,2.64
lensk,1,RU,1567377195,78,56.23,60.71,114.91,3.09
talara,0,PE,1567377196,290,62.6,-4.58,-81.27,12.75
kloulklubed,75,PW,1567376695,94,77.0,7.04,134.26,7.87
isangel,75,VU,1567376858,78,80.6,-19.55,169.27,11.41
harda,100,IN,1567377196,95,75.85,22.34,77.09,5.79
koygorodok,33,RU,1567377197,96,40.21,60.44,51.01,3.67
dickinson,1,US,1567377125,56,75.99,46.88,-102.79,13.87
nizwa,34,OM,1567377198,41,82.69,22.93,57.53,1.23
avera,1,US,1567376705,51,86.0,33.19,-82.53,11.41
san rafael,0,AR,1567376880,20,56.24,-34.61,-68.33,11.03
airai,91,TL,1567376730,63,64.16,-8.93,125.41,4.0
ploemeur,0,FR,1567377198,81,57.99,47.73,-3.43,8.05
chuy,69,UY,1567376455,64,51.56,-33.69,-53.46,13.38
bulgan,100,MN,1567377199,74,59.47,48.81,103.53,2.44
gainesville,20,US,1567377199,74,88.0,29.65,-82.33,11.41
kerteminde,17,DK,1567377200,76,59.0,55.45,10.66,1.01
bagepalli,75,IN,1567377200,100,69.8,13.78,77.8,11.41
ilawe,100,NG,1567377200,97,71.71,7.87,4.43,5.21
mayo,75,CA,1567377201,34,66.2,63.59,-135.9,2.24
barabai,44,ID,1567377201,85,76.21,-2.59,115.38,0.63
beloha,0,MG,1567376720,82,65.6,-25.17,45.06,4.74
whyalla,0,AU,1567377203,87,44.6,-33.04,137.58,5.82
gafargaon,100,BD,1567377203,91,80.71,24.46,90.55,3.04
laguna,40,BZ,1567376766,59,91.4,16.17,-88.94,6.93
stokmarknes,100,NO,1567377063,87,54.0,68.56,14.91,21.7
santa rosa,0,AR,1567376487,19,55.52,-36.62,-64.29,0.74
dungarpur,99,IN,1567377204,97,74.95,23.85,73.71,4.85
mangrol,97,IN,1567377204,80,82.33,25.33,76.51,4.12
nelson bay,0,AU,1567377205,82,60.01,-32.72,152.14,9.17
pentecoste,88,BR,1567377205,87,78.01,-3.8,-39.27,15.01
khuzhir,76,RU,1567377205,93,55.15,53.19,107.35,7.9
kushiro,75,JP,1567377206,87,60.8,43.11,144.15,5.82
sobolevo,0,RU,1567376714,91,58.58,54.43,31.9,4.23
afrikanda,59,RU,1567377206,96,52.09,67.44,32.78,2.89
deputatskiy,99,RU,1567377210,69,47.77,69.3,139.9,4.68
leh,0,IN,1567377210,52,44.17,34.16,77.58,4.52
mirnyy,92,RU,1567377211,93,56.41,56.57,36.46,2.06
nabire,96,ID,1567376801,95,67.22,-3.36,135.5,4.34
kuandian,0,CN,1567377211,87,64.69,40.73,124.78,2.75
veraval,0,FR,1567377212,81,60.8,49.65,0.71,5.82
kuusamo,0,FI,1567376744,100,53.6,65.96,29.19,5.82
loreto,4,PY,1567376728,41,71.0,-23.27,-57.32,4.16
mahebourg,20,MU,1567376468,82,69.01,-20.41,57.7,9.33
talnakh,20,RU,1567376781,100,41.0,69.49,88.39,11.18
dayong,40,CN,1567377213,83,80.6,25.02,118.29,2.24
the valley,20,AI,1567376773,70,86.0,18.22,-63.06,6.93
baykit,100,RU,1567376800,95,50.66,61.68,96.39,14.92
carutapera,23,BR,1567376855,80,79.28,-1.2,-46.02,8.5
leningradskiy,100,RU,1567376756,96,36.26,69.38,178.42,22.37
ashford,75,US,1567377214,39,80.6,46.76,-122.02,8.68
santa maria,0,BR,1567377214,32,82.4,-16.02,-48.01,4.7
nago,92,IT,1567377215,73,79.0,45.88,10.89,4.7
biak,72,ID,1567376762,97,60.56,-0.91,122.88,5.95
iqaluit,90,CA,1567376741,87,42.8,63.75,-68.52,19.46
mount isa,0,AU,1567376808,18,59.0,-20.73,139.49,11.88
guerrero negro,96,MX,1567376451,77,73.7,27.97,-114.04,11.7
san cristobal,66,HN,1567376882,43,86.66,14.68,-86.92,6.42
dikson,100,RU,1567376714,95,40.94,73.51,80.55,1.63
namatanai,100,PG,1567377216,88,77.47,-3.66,152.44,17.56
fairbanks,75,US,1567376727,48,66.2,64.84,-147.72,10.29
vilhena,40,BR,1567376852,78,78.8,-12.74,-60.15,4.7
pudozh,8,RU,1567377217,94,54.61,61.81,36.54,0.67
faya,0,SA,1567376770,73,73.4,18.39,42.45,1.41
uruzgan,0,AF,1567377218,28,50.83,32.93,66.63,2.1
nizhniy kuranakh,80,RU,1567377218,64,56.23,58.84,125.49,2.86
sucre,58,BO,1567377218,51,59.0,-19.05,-65.26,14.99
manyana,0,AU,1567377219,58,66.0,-35.26,150.51,8.05
maldonado,20,UY,1567377219,66,48.2,-34.91,-54.96,6.93
vilyuysk,83,RU,1567377219,73,58.75,63.75,121.63,2.42
kathu,0,ZA,1567377220,32,48.99,-27.7,23.05,7.16
vestmannaeyjar,0,IS,1567376772,68,50.3,63.44,-20.27,15.37
hoa binh,100,VN,1567377187,94,78.8,20.81,105.34,3.36
chokurdakh,100,RU,1567376470,71,43.28,70.62,147.9,8.84
bintulu,75,MY,1567376834,94,77.0,3.17,113.03,2.24
hasaki,20,JP,1567376726,100,75.2,35.73,140.83,1.12
barbastro,0,ES,1567377222,64,72.0,42.04,0.13,8.05
paita,0,PE,1567376740,290,62.6,-5.09,-81.11,12.75
tabat,44,ID,1567377222,85,76.21,-2.64,115.23,0.63
morros,0,BR,1567377223,83,80.6,-2.87,-44.04,12.75
los llanos de aridane,20,ES,1567376822,69,73.4,28.66,-17.92,17.22
labuhan,67,ID,1567376880,88,71.72,-2.54,115.51,0.56
hamilton,90,CA,1567376468,93,66.99,43.26,-79.87,6.93
kilingi-nomme,25,EE,1567377224,95,59.83,58.15,24.96,6.51
abnub,0,EG,1567377224,42,82.4,27.27,31.15,3.36
eyemouth,13,GB,1567377224,89,53.01,55.87,-2.09,8.01
broken hill,0,AU,1567376857,57,48.2,-31.97,141.45,11.41
shingu,33,JP,1567377225,76,76.93,33.72,135.99,3.53
kelowna,1,CA,1567377225,34,84.99,49.89,-119.5,2.24
bud,97,NO,1567376862,66,51.8,62.91,6.91,13.87
garda de sus,0,RO,1567377226,49,64.87,46.45,22.82,4.27
mildura,0,AU,1567377226,87,42.8,-34.18,142.16,10.04
namibe,99,AO,1567376700,87,64.88,-15.19,12.15,11.32
torbay,20,CA,1567376813,87,60.01,47.66,-52.73,5.82
alofi,98,NU,1567376815,60,75.2,-19.06,-169.92,18.34
sarakhs,0,TM,1567377227,34,68.0,36.54,61.16,4.7
minab,0,IR,1567377227,37,86.0,27.15,57.07,1.12
mackay,90,CA,1567377228,93,57.2,53.65,-115.58,6.93
alice springs,0,AU,1567377228,19,50.0,-23.7,133.88,4.7
severo-kurilsk,97,RU,1567376739,96,49.76,50.68,156.12,11.56
payo,26,ID,1567377229,78,68.83,-3.75,103.64,2.68
benjamin constant,20,BR,1567377229,66,87.8,-4.38,-70.03,3.36
touros,40,BR,1567376708,83,78.8,-5.2,-35.46,9.17
san juan del rio,40,MX,1567377230,26,78.8,20.39,-99.99,16.11
suket,100,IN,1567377230,93,77.11,24.65,76.04,10.09
havre-saint-pierre,20,CA,1567376625,71,51.8,50.23,-63.6,10.29
kayes,20,ML,1567377231,62,84.2,14.44,-11.44,4.7
waipawa,21,NZ,1567377231,65,59.0,-39.94,176.59,1.01
ilulissat,0,GL,1567376697,39,48.2,69.22,-51.1,13.87
tuy hoa,98,VN,1567377232,86,75.67,13.08,109.3,11.56
lagos,40,NG,1567377232,94,77.0,6.46,3.39,4.7
male,64,UA,1567377232,54,65.95,50.74,33.7,5.79
zhangye,82,CN,1567377233,35,67.39,38.94,100.46,1.28
batemans bay,68,AU,1567377234,69,59.0,-35.71,150.18,3.0
oro valley,40,US,1567377234,22,102.99,32.39,-110.97,8.05
itagi,18,BR,1567377234,88,67.21,-14.16,-40.01,11.41
belaya gora,41,RU,1567377235,41,53.53,68.54,146.19,9.98
puerto padre,40,CU,1567377235,59,89.6,21.2,-76.61,8.05
vila do maio,75,CV,1567377236,83,80.6,15.13,-23.22,6.93
oga,75,IT,1567376864,100,59.0,46.46,10.35,2.24
katsuura,75,JP,1567376778,94,75.99,33.93,134.5,2.24
kota kinabalu,75,MY,1567377236,88,78.8,5.98,116.07,6.93
aconibe,74,GQ,1567377237,99,65.59,1.29,10.94,2.21
saint-georges,50,CA,1567376620,57,69.01,46.12,-70.67,2.68
aykhal,75,RU,1567376837,70,46.4,65.95,111.51,4.47
gualeguay,0,AR,1567377238,55,45.79,-33.15,-59.31,7.05
pundaguitan,91,PH,1567376770,75,81.26,6.37,126.17,4.76
christchurch,0,NZ,1567377086,71,57.99,-43.53,172.64,9.17
manavalakurichi,75,IN,1567377239,88,78.8,8.13,77.3,9.17
changli,92,CN,1567377239,85,70.45,30.54,105.42,3.87
derzhavinsk,55,KZ,1567377239,91,45.79,51.1,66.31,11.83
vila velha,40,BR,1567377240,74,80.6,-3.71,-38.6,8.05
general jose eduvigis diaz,0,PY,1567377240,45,62.6,-27.17,-58.42,4.7
pilar,0,AR,1567376807,32,53.6,-34.46,-58.91,8.05
tilichiki,15,RU,1567377241,55,52.27,60.47,166.1,13.44
grindavik,20,IS,1567376825,70,48.2,63.84,-22.43,9.17
dusti,20,TJ,1567377241,39,66.2,37.35,68.68,4.47
gubkinskiy,10,RU,1567376772,90,46.34,64.43,76.5,9.08
barra do garcas,0,BR,1567377242,36,93.2,-15.89,-52.26,3.36
karpathos,12,GR,1567377243,73,75.2,35.51,27.21,24.16
bonnyville,40,CA,1567377243,55,64.4,54.27,-110.74,5.82
boa vista,40,BR,1567377163,49,91.4,2.82,-60.67,5.82
pangnirtung,99,CA,1567376759,74,45.08,66.15,-65.72,2.21
half moon bay,1,US,1567376828,88,90.0,37.46,-122.43,13.87
longkou,8,CN,1567377244,66,72.79,37.64,120.47,6.67
cuzaplac,0,RO,1567377245,59,64.4,46.97,23.2,1.12
paranhos,36,PY,1567377245,80,54.97,-23.89,-55.43,1.72
bourail,91,NC,1567377245,94,69.37,-21.57,165.5,4.32
portland,40,US,1567376969,63,66.99,43.66,-70.25,9.17
natal,40,BR,1567376839,83,78.8,-5.81,-35.21,9.17
te anau,100,NZ,1567376751,83,43.82,-45.41,167.72,5.68
potchefstroom,0,ZA,1567377247,51,36.25,-26.71,27.1,1.63
saint george,20,GR,1567376453,60,69.8,39.45,22.34,4.7
yulara,0,AU,1567376772,23,48.2,-25.24,130.99,5.82
lopsmarka,75,NO,1567377248,87,54.0,67.31,14.45,13.87
cairns,90,AU,1567377227,77,70.0,-16.92,145.77,10.29
kabalo,0,CD,1567377249,55,76.21,-6.05,26.92,4.88
keti bandar,100,PK,1567377249,84,82.51,24.14,67.45,14.16
port hawkesbury,1,CA,1567377249,59,64.0,45.62,-61.36,3.36
hue,75,VN,1567377249,94,78.8,16.47,107.58,6.93
puerto leguizamo,90,CO,1567377250,78,78.73,-0.19,-74.78,3.31
yerbogachen,100,RU,1567376753,86,49.04,61.28,108.01,3.09
udachnyy,75,RU,1567377042,70,46.4,66.42,112.4,4.47
saldanha,0,PT,1567376737,48,72.62,41.42,-6.55,13.18
broome,0,GB,1567377251,76,55.0,52.47,1.45,8.05
ilhabela,93,BR,1567377032,92,69.19,-23.78,-45.36,3.33
mudanjiang,0,CN,1567377251,82,63.79,44.58,129.6,2.75
gamba,100,CN,1567377252,80,38.95,28.28,88.52,2.37
cockburn town,40,TC,1567376481,66,87.8,21.46,-71.14,9.17
sibolga,98,ID,1567377252,82,80.71,1.74,98.78,9.33
husavik,77,CA,1567376708,54,69.01,50.56,-96.99,14.16
lokosovo,100,RU,1567377253,98,47.23,61.13,74.84,6.22
atambua,94,ID,1567377253,68,73.87,-9.11,124.89,8.19
novogagatli,0,RU,1567377253,82,62.6,43.46,46.48,4.47
holme,15,DK,1567377254,93,54.0,56.11,10.17,4.7
mujiayingzi,0,CN,1567377254,49,66.31,42.12,118.78,8.19
dubbo,0,AU,1567377254,58,55.4,-32.25,148.6,8.05
kremasti,0,GR,1567377254,53,67.39,36.98,22.87,6.55
red bluff,1,US,1567377255,19,99.0,40.18,-122.24,10.29
aksarka,52,RU,1567376830,91,45.62,66.56,67.8,22.17
weligama,93,LK,1567377255,82,80.71,5.97,80.42,10.2
hofn,86,IS,1567376863,81,32.84,64.25,-15.21,15.03
poum,20,MK,1567376840,58,59.0,41.28,20.71,5.82
gravdal,96,NO,1567377256,66,53.6,59.79,5.78,17.22
melfi,75,IT,1567377256,100,71.6,41.0,15.66,4.7
wajir,0,KE,1567377257,66,74.05,1.75,40.07,16.24
acapulco,40,MX,1567376759,70,89.6,16.86,-99.88,6.93
bechem,100,GH,1567377257,99,71.35,7.09,-2.02,4.74
kalmunai,100,LK,1567377258,78,76.03,7.42,81.82,3.0
san andres,100,PH,1567377258,85,80.17,13.32,122.68,8.79
jutai,55,BR,1567377258,97,74.23,-1.71,-47.89,3.31
north battleford,90,CA,1567377259,40,69.8,52.78,-108.3,9.17
fukue,75,JP,1567377259,83,79.0,35.03,136.69,3.36
esil,51,KZ,1567377259,90,44.17,51.96,66.41,5.88
zaria,52,NG,1567377260,94,70.27,11.11,7.72,4.72
synya,91,RU,1567376799,89,45.08,65.37,58.04,7.0
bereda,75,ES,1567376775,72,64.99,43.27,-7.54,14.99
villacarrillo,100,ES,1567377261,40,78.91,38.12,-3.08,6.49
zholymbet,100,KZ,1567377261,73,48.31,51.74,71.71,9.1
kargasok,100,RU,1567377261,89,46.33,59.06,80.87,7.0
nelidovo,1,RU,1567377262,94,54.97,56.22,32.78,2.73
santiago,86,PH,1567377262,79,78.01,16.69,121.54,1.43
esperance,0,AU,1567376782,93,46.4,-33.86,121.89,12.75
san carlos,75,NI,1567377263,62,79.0,11.12,-84.78,1.01
ola,58,RU,1567376500,92,50.84,59.58,151.3,3.89
mareeba,90,AU,1567377263,77,70.0,-16.99,145.42,10.29
lapeer,90,US,1567377048,68,69.8,43.05,-83.32,5.35
san marcos,90,GT,1567377264,74,86.0,14.97,-91.79,9.17
vostochnyy,0,RU,1567377264,93,64.99,55.82,37.87,2.24
palmer,0,AU,1567377248,62,57.99,-34.85,139.16,18.34
bonavista,8,CA,1567377265,81,55.99,48.65,-53.11,1.01
la asuncion,0,AR,1567376738,36,56.96,-26.05,-65.39,6.93
varkaus,5,FI,1567377265,100,50.0,62.32,27.87,1.12
richards bay,0,ZA,1567376776,71,66.68,-28.77,32.06,12.41
walvis bay,0,NA,1567376742,96,51.01,-22.95,14.51,7.0
iskateley,56,RU,1567377266,91,41.11,67.68,53.15,4.21
comodoro rivadavia,40,AR,1567376824,64,39.2,-45.87,-67.48,13.87
miri,56,NG,1567377267,90,69.91,10.31,9.75,1.77
yagodnoye,16,RU,1567377267,51,51.37,62.52,149.63,1.95
benguela,67,AO,1567377267,82,69.19,-12.58,13.4,7.43
outjo,10,NA,1567377268,8,60.8,-20.11,16.16,3.36
wawa,70,NG,1567377268,95,71.71,9.9,4.41,5.66
kasangulu,20,CD,1567377268,58,82.4,-4.59,15.17,9.17
zhigansk,100,RU,1567376744,76,50.3,66.77,123.37,6.67
druzhba,92,UA,1567376754,64,64.88,52.05,33.94,5.19
anloga,75,GH,1567376757,94,77.0,5.79,0.9,11.41
maxixe,0,MZ,1567376993,92,59.48,-23.86,35.35,2.64
phuket,20,TH,1567376846,88,75.2,7.89,98.4,11.56
salalah,75,OM,1567376441,94,78.8,17.01,54.1,5.82
normandin,75,CA,1567377270,55,64.4,48.84,-72.53,5.82
makakilo city,90,US,1567377270,78,91.4,21.35,-158.09,3.36
sawakin,0,SD,1567377270,35,88.81,19.1,37.33,5.01
pecanha,79,BR,1567377271,63,65.59,-18.55,-42.56,3.91
pierre,1,US,1567377271,61,84.0,44.37,-100.35,11.41
arica,0,CL,1567377271,67,62.6,-18.48,-70.32,8.05
